,id,name,wgslng,wgslat,adname,cost,rating,type,bdlat,bdlng,WMlat,WMlng
99,B0G31MXKT0,中国农业银行(高境支行),121.474126,31.322587,宝山区,[],4.0,金融保险服务;银行;中国农业银行,31.326307281870868,121.48523891425604,13522437.850877792,3674714.4525967706
100,B00154D9YB,上海浦东发展银行(高境支行),121.47503700000001,31.322864000000003,宝山区,[],4.0,金融保险服务;银行;上海浦东发展银行,31.32658199846838,121.48614646643867,13522539.262933906,3674750.549057258
101,B0FFF5VCR6,交通银行24小时自助银行(殷高西路),121.46946899999999,31.322306,宝山区,[],[],金融保险服务;自动提款机;交通银行ATM,31.32603892996183,121.48059840940157,13521919.436009167,3674677.834996271
102,B001558D6B,中国建设银行24小时自助银行(上海高境支行),121.470327,31.322996999999997,宝山区,[],[],金融保险服务;自动提款机;中国建设银行ATM,31.326728387928803,121.48145342682992,13522014.948132265,3674767.8806085116
103,B001571DOY,中国工商银行(殷高西路支行),121.469291,31.322878000000003,宝山区,[],3.5,金融保险服务;银行;中国工商银行,31.326612018411193,121.48042095352649,13521899.621139804,3674752.3734299224
104,B0FFF5YAG8,中国工商银行24小时自助银行(殷高西路支行),121.46933700000001,31.32289,宝山区,[],[],金融保险服务;自动提款机;中国工商银行ATM,31.32662391132289,121.48046679772168,13521904.741836384,3674753.937178135
105,B0G33UY3JJ,中国农业银行24小时自助银行(上海高境支行),121.474102,31.322415000000003,宝山区,[],[],金融保险服务;自动提款机;中国农业银行ATM,31.326135184480933,121.4852150144764,13522435.17921001,3674692.0389635614
106,B0FFFSO2ZE,兴业银行(高跃路社区支行),121.46825600000001,31.319993,宝山区,[],[],金融保险服务;银行;兴业银行,31.323730015515853,121.47938877363919,13521784.405466834,3674376.4280807544
107,B001557N1P,上海浦东发展银行24小时自助银行(高境支行),121.47487,31.322891,宝山区,[],[],金融保险服务;自动提款机;上海浦东发展银行ATM,31.326609515515337,121.48598009236352,13522520.672578942,3674754.0674904916
108,B0FFF00MG3,兴业银行24小时自助银行(高跃路社区支行),121.46826100000001,31.32,宝山区,[],3.0,金融保险服务;自动提款机;兴业银行ATM,31.323736991712906,121.47939376137805,13521784.96206429,3674377.340239235
